  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
SENTAL SUARL,20/07/2012,DAKAR RESIDENCE ARAME SIGA...,S.U.A.R.L,ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/sental-suarl, SNDKR2012B10147,1000000
UNIVERSITE DE L&#039;EXCELLENCE AFRICAINE SA - U.E.A SA,19/07/2012,DAKAR AVENUE PEYTAVIN...,SOCIETE ANONYME (S.A),EDUCATION - FORMATION,http://www.creationdentreprise.sn/universite-de-lexcellence-africaine-sa-uea-sa, SNDKR2012B10122,10000000
GROUPE TRUST SARL,20/07/2012,DAKAR 2225 P IMMEUBLE 5 HLM 5,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/groupe-trust-sarl, SNDKR2012B10149,1000000
SOCIAL CONNEXION CONSULTING SARL,24/07/2012,HLM NIMZATT N°2646,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE CULTURELLE,http://www.creationdentreprise.sn/social-connexion-consulting-sarl, SNDKR2012B10301,1000000
NOVA AFRICA SARL,26/07/2012,DAKAR GIBRALTAR 3 VILLA N°10,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/nova-africa-sarl, SNDKR2012B10475,1000000
LOGEN SERVICES SARL,27/07/2012,DAKAR ALMADIES ZONE 17 LOT N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/logen-services-sarl, SNDKR2012B10583,1000000
CAMPRO SARL,27/07/2012,DAKAR SACRE COEUR 3 VILLA N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/campro-sarl, SNDKR2012B10577,1000000
GROUPE RUMANCAN SENEGAL SARL - GRS SARL,27/07/2012,DANGOU SUD RUFISQUE PARCELLE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/groupe-rumancan-senegal-sarl-grs-sarl, SNDKR2012B10580,2000000
LE CONSORTIUM SARL,27/07/2012,159 AVENUE CARDINAL THIANDOUM...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/le-consortium-sarl, SNDKR2012B10586,1000000
A.N.S. INTER-EXPORT.SN SUARL,27/07/2012,16 RUE PARCHAPPE / 6501,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/ans-inter-exportsn-suarl, SNDKR2012B10589,1000000
TOTAL GRAPHICS SUARL,27/07/2012,RUE 29 x BLAISE DIAGNE DAKAR,S.U.A.R.L,EDITION / POLYGRAPHIQUE / IMPRIMERIE / PAPIERS-CARTON,http://www.creationdentreprise.sn/total-graphics-suarl, SNDKR2012B10594,1000000
K-CONSULTING SUARL,27/07/2012,5324 SICAP LIBERTE 5 DAKAR,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/k-consulting-suarl, SNDKR2012B10595,1000000
GEOSCIENCES SERVICES SARL - G2S SARL,30/07/2012,SACRE COEUR 3 VDN N°10213,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/geosciences-services-sarl-g2s-sarl, SNDKR2012B10692,2000000
SOCIETE AFRICAINE D&#039;AGROALIMENTAIRE SUARL - S2A SUARL,30/07/2012,KM 3.5 BOULEVARD DU...,S.U.A.R.L,ALIMENTAIRE,http://www.creationdentreprise.sn/societe-africaine-dagroalimentaire-suarl-s2a-suarl, SNDKR2012B10691,1000000
MOBILE CASH SA,27/07/2012,DAKAR 15 ALMADIES ROUTE DE...,SOCIETE ANONYME (S.A),FINANCE,http://www.creationdentreprise.sn/mobile-cash-sa, SNDKR2012B10582,300000000
GLOBAL CONSULTING ET SERVICES SUARL,27/07/2012,LIBERTE 6 EXTENSION N°30 1ER...,S.U.A.R.L,COMMUNICATION,http://www.creationdentreprise.sn/global-consulting-et-services-suarl, SNDKR2012B10596,1000000
SENEBIO SUARL,27/07/2012,DAKAR CABINET DELOITTE...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/senebio-suarl, SNDKR2012B10597,1000000
AMENAGEMENT RENOVATION BATIMENT & TRAVAUX PUBLICS SARL - AR BTP SARL,27/07/2012,36 OUEST FOIRE CITE AFRIQUE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/amenagement-renovation-batiment-travaux-publics-sarl-ar-btp-sarl, SNDKR2012B10587,1000000
XELCOM TRADING SURL,30/07/2012,DAKAR CITE SOPRIM EXTENSION...,S.U.R.L,COMMERCE,http://www.creationdentreprise.sn/xelcom-trading-surl, SNDKR2012B10591,1310000
TIJANIA SARL,26/07/2012,DAKAR 8 RUE FILA FANN HOCK,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/tijania-sarl, SNDKR2012B10590,1000000
BIOCLIMATEC CONSEILS SUARL,27/07/2012,RUE 1 x 8 MEDINA VILLA BOBBA...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/bioclimatec-conseils-suarl, SNDKR2012B10581,2500000
LOWRE INDUSTRIES SARL,27/07/2012,DAKAR VILLA N°22 CITE COSEPI...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/lowre-industries-sarl, SNDKR2012B10578,1000000
GENERAL LOGISTIC SURL,24/07/2012,DAKAR HLM GRAND YOFF VILLA N°...,S.U.R.L,COMMERCE,http://www.creationdentreprise.sn/general-logistic-surl, SNDKR2012B10404,2000000
BUREAUTIQUE INFORMATIQUE TELECOM SERVICES SUARL - B.I.T. SUARL,26/07/2012,DAKAR HANN MARISTES 2 N°X 23,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/bureautique-informatique-telecom-services-suarl-bit-suarl, SNDKR2012B10473,1000000
LINK FINANCES SUARL,26/07/2012,10558 SACRE COEUR VDN...,S.U.A.R.L,FINANCE,http://www.creationdentreprise.sn/link-finances-suarl, SNDKR2012B10474,1000000
CLINIQUE DU CAP SARL,25/07/2012,CLINIQUE DU CAP AVENUE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),SANTE,http://www.creationdentreprise.sn/clinique-du-cap-sarl, SNDKR2012B10402,300000000
SKYLITE SENEGAL SAU,27/07/2012,NORD FOIRE AZUR N°2 DAKAR,SOCIETE ANONYME UNIPERSONELLE(S.A.U),IMMOBILIER,http://www.creationdentreprise.sn/skylite-senegal-sau, SNDKR2012B10592,10000000
AFRIQUE PARTENARIAT & DEVELOPPEMENT SUARL - A.P.D. SUARL,27/07/2012,THIAROYE AZUR CITE SAFCO 2 N°...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/afrique-partenariat-developpement-suarl-apd-suarl, SNDKR2012B10593,1000000
VENUS ASSURANCES SAU,26/07/2012,AVENUE BOURGUIBA IMMEUBLE ABC...,SOCIETE ANONYME UNIPERSONELLE(S.A.U),ASSURANCES,http://www.creationdentreprise.sn/venus-assurances-sau, SNDKR2012B10476,10000000
SENEGALAISE DE DISTRIBUTION D&#039;OLEAGINEUX SA,26/07/2012,DAKAR KM 3.5 BOULEVARD DU...,SOCIETE ANONYME (S.A),COMMERCE,http://www.creationdentreprise.sn/senegalaise-de-distribution-doleagineux-sa, SNDKR2012B10477,10000000
SAMAY SERVICES SARL,27/07/2012,DAKAR GUENTABA N°61 / 64606,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/samay-services-sarl, SNDKR2012B10584,1000000
SAMAY SERVICES SARL,27/07/2012,DAKAR GUENTABA N°61 / 64606,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/samay-services-sarl, SNDKR2012B10584,1000000
ANGEL HOLDING COMPANY SARL,27/07/2012,DAKAR NGOR FACE MADRAGUE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/angel-holding-company-sarl, SNDKR2012B10585,1000000
TRAINIS SENEGAL SARL,30/07/2012,COOPERATIVE DPCS HANN...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),EDUCATION - FORMATION,http://www.creationdentreprise.sn/trainis-senegal-sarl, SNDKR2012B10688,1000000
SCI BARKI IMMO,13/08/2012,ALMADIES ZONE 3 LOT N°11,SOCIETE CIVILE,IMMOBILIER,http://www.creationdentreprise.sn/sci-barki-immo, BE N°1351/1 CASE 867,1200000
POOLY MBAWA SARL,14/08/2012,DAKAR CICES LOT N°444,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/pooly-mbawa-sarl, SNDKR2012B11548,1000000
ECODOMUS SARL,14/08/2012,DAKAR Z 11 HANN MARISTES 2,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/ecodomus-sarl, SNDKR2012B11546,1000000
RESTO CONCEPT DAKAR SARL,14/08/2012,DAKAR CITE TELECOM RESIDENCES...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/resto-concept-dakar-sarl, SNDKR2012B11547,1000000
DJOLOF SERVICES SENEGAL SARL,16/08/2012,DAKAR HANN MARISTES 2 VILLA N...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/djolof-services-senegal-sarl, SNDKR2012B11626,1000000
ATCI SUARL,16/08/2012,42 AVENUE FAIDHERBE DAKAR,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/atci-suarl, SNDKR2012B11596,1000000
AFRICA PACKAGING SA,16/08/2012,KM 4.5 BOULEVARD DU...,SOCIETE ANONYME (S.A),EDITION / POLYGRAPHIQUE / IMPRIMERIE / PAPIERS-CARTON,http://www.creationdentreprise.sn/africa-packaging-sa, SNDKR2012B11624,10000000
IMPACT INTERIM SARL,16/08/2012,DAKAR SACRE COEUR 3 EXTENSION...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/impact-interim-sarl, SNDKR2012B11625,1000000
DECO EVEN 221 SARL,26/07/2012,DAKAR 4387 AMITIE 3,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/deco-even-221-sarl, SNDKR2012B10472,1000000
XFACILITIES GROUP SARL,27/07/2012,DAKAR 5394/K SICAP LIBERTE 5,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/xfacilities-group-sarl, SNDKR2012B10576,1000000
NAKA GROUP SARL,23/08/2012,148 BIS BOULEVARD GENERAL...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/naka-group-sarl, SNDKR2012B11824,1000000
DEVELOPPEMENT FINANCES-PERFORMANCES SARL - DEVFI-PERFORMANCES SARL,23/08/2012,DAKAR VILLA N°7 CITE ALIA...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/developpement-finances-performances-sarl-devfi-performances-sarl, SNDKR2012B11827,1000000
MOBILIS SARL,16/08/2012,KM 1 ROUTE DE MBOUR DIAMNIADIO,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/mobilis-sarl-0, SNDKR2012B11718,1000000
K&D TRANSPORT SARL,21/08/2012,DAKAR CITE ALIZE THIAROYE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/kd-transport-sarl, SNDKR2012B11732,1000000
ANCIENS CADRES DE L&#039;EDUCATION DU SENEGAL SARL - ACES SARL,17/08/2012,DAKAR PATTE D&#039;OIE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),EDUCATION - FORMATION,http://www.creationdentreprise.sn/anciens-cadres-de-leducation-du-senegal-sarl-aces-sarl, SNDKR2012B11714,1000000
MAISON SENSENE SARL,21/08/2012,DAKAR CITE GADAYE VILLA N°87,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/maison-sensene-sarl, SNDKR2012B11736,2000000
GROUPE SOABF SUARL,17/08/2012,PATTE D&#039;OIE BUILDERS...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/groupe-soabf-suarl, SNDKR2012B17716,1000000
GROUP HATIE MEDAILLES D&#039;AFRIQUE SUARL - GH MEDAF SUARL,17/08/2012,SICAP RUE 10 PARCELLE N°2 RUE...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/group-hatie-medailles-dafrique-suarl-gh-medaf-suarl, SNDKR2012B11713,1000000
TOURISM REAL ESTATE INVESTMENT GROUP SA - TREIG SA,21/08/2012,17 RUE GRASLAND DAKAR,SOCIETE ANONYME (S.A),IMMOBILIER,http://www.creationdentreprise.sn/tourism-real-estate-investment-group-sa-treig-sa, SNDKR2012B11734,10000000
GLORY SARL,16/08/2012,DAKAR LIBERTE 6 VILLA N°8175,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/glory-sarl, SNDKR2012B11628,1000000
SOLAMINING GROUP SA,23/08/2012,DAKAR 133 BIS SACRE COEUR 3...,SOCIETE ANONYME (S.A),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/solamining-group-sa, SNDKR2012B11849,10000000
MADIAMA FALL CONSTRUCTIONS VEHICULES ET ENGINS INDUSTRIELS SA - M.F.C.V.E.I. SA,23/08/2012,THIAROYE SUR MER KM 11 ROUTE...,SOCIETE ANONYME (S.A),INDUSTRIES AUTOMOBILES,http://www.creationdentreprise.sn/madiama-fall-constructions-vehicules-et-engins-industriels-sa-mfcvei-sa, SNDKR2012B11830,10000000
CENTRALE ACHAT BATIMENT SA,17/08/2012,LIBERTE 6 EXTENSION VDN LOT N...,SOCIETE ANONYME (S.A),COMMERCE,http://www.creationdentreprise.sn/centrale-achat-batiment-sa, SNDKR2012B11720,10000000
WINA TECHNOLOGIES SARL - WINATEC SARL,16/08/2012,DAKAR CITE BCEAO VILLA N°MS...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/wina-technologies-sarl-winatec-sarl, SNDKR2012B11735,3780000
COM UNIC SENEGAL SARL,24/08/2012,7998 SICAP LIBERTE 6 DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/com-unic-senegal-sarl, SNDKR2012B11887,1000000
INTERNATIONAL NETWORK OF TRADE AND BUSINESS SARL - INTB SARL,24/08/2012,DAKAR SACRE COEUR 2 IMMEUBLE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/international-network-trade-and-business-sarl-intb-sarl, SNDKR2012B11885,1000000
D.M. TRADING SARL,24/08/2012,DIAMAGUENE KM 16 ROUTE DE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/dm-trading-sarl, SNDKR2012B11884,1000000
LYONNAISE DE SURETE SENEGAL SUARL,24/08/2012,DAKAR GRAND DAKAR VILLA N°550,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/lyonnaise-de-surete-senegal-suarl, SNDKR2012B11888,1000000
SENSITIVE TECHNOLOGIE.CORPORATION SARL 6 SENTECH.CORP SARL,24/08/2012,CITE SOPRIM VILLA N°10/A DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/sensitive-technologiecorporation-sarl-6-sentechcorp-sarl, SNDKR2012B11886,1000000
B.A. LOGISTICS SARL,24/08/2012,DAKAR SICAP FOIRE VILLA N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/ba-logistics-sarl, SNDKR2012B11889,1000000
HR PERSPECTIVES SUARL,23/08/2012,DAKAR LIBERTE 6 EXTENSION...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/hr-perspectives-suarl, SNDKR2012B11826,1500000
PHARMA SERVICES AFRIQUE SUARL,23/08/2012,DAKAR OUEST FOIRE VILLA N°52,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/pharma-services-afrique-suarl, SNDKR2012B11847,1000000
INDUSTRIES DES BOISSONS DU SENEGAL SA - I.B.S. SA,17/08/2012,KM 4.5 BOULEVARD DU...,SOCIETE ANONYME (S.A),ALIMENTAIRE,http://www.creationdentreprise.sn/industries-des-boissons-du-senegal-sa-ibs-sa, SNDKR2012B11719,100000000
SENESPA PECHE SARL,17/08/2012,LOTISSEMENT LES BAOBABS MBAO...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PECHE,http://www.creationdentreprise.sn/senespa-peche-sarl, SNDKR2012B11712,1000000
GREEN PHARMA PROMO SARL - GREENPHARMO SARL,17/08/2012,DAKAR CITE GORGUI IMMEUBLE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/green-pharma-promo-sarl-greenpharmo-sarl, SNDKR2012B11711,1000000
SEN SECURITE ET INTERIM SUARL,17/08/2012,PARCELLES ASSAINIES UNITE 8...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/sen-securite-et-interim-suarl, SNDKR2012B11717,1000000
ORDONNANCEMENT PILOTAGE & COORDINATION - AFRIC SARL,23/08/2012,RESIDENCE DE LA PAIX MIXTA...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/ordonnancement-pilotage-coordination-afric-sarl, SNDKR2012B11848,1000000
ALTECH & SFM AFRIQUE SUARL,22/08/2012,12 BOULEVARD DJILY MBAYE...,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/altech-sfm-afrique-suarl, SNDKR2012B11778,1000000
HEMISPHERE SARL,23/08/2012,LIBERTE 6 EXTENSION DERRIERE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/hemisphere-sarl, SNDKR2012B11850,1000000
SPINTECH SA,23/08/2012,DAKAR SICA¨P MERMOZ N°7545,SOCIETE ANONYME (S.A),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/spintech-sa, SNDKR2012B11825,10000000
BAOL ENERGIE SOLAIRE SUARL,29/08/2012,DAKAR PARCELLES ASSAINIES...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/baol-energie-solaire-suarl, SNDKR2012B12135,1100000
BLUEKANGO SENEGAL SARL,29/08/2012,DAKAR 29 AVENUE PASTEUR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/bluekango-senegal-sarl, SNDKR2012B12136,15000000
BELDO TRADING SERVICES SARL - B.T.S SARL,28/08/2012,DAKAR SICAP SACRE COEUR 2 N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/beldo-trading-services-sarl-bts-sarl, SNDKR2012B12046,1000000
GLOBAL SERVICES GROUPE SARL,23/08/2012,11 RUE GRASLAND x LAMINE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/global-services-groupe-sarl, SNDKR2012B11829,1000000
CAPITAL H SARL,23/08/2012,DAKAR VDN ROUTE DU FRONT DE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/capital-h-sarl, SNDKR2012B11828,1000000
IPI 9 - SENEGAL SA,21/08/2012,17 RUE GRASLAND DAKAR,SOCIETE ANONYME (S.A),COMMUNICATION,http://www.creationdentreprise.sn/ipi-9-senegal-sa, SNDKR2012B11733,10000000
PESCADOS BAGANIS SARL,27/08/2012,DAKAR THIAROYE AZUR SAPI N°25,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PECHE,http://www.creationdentreprise.sn/pescados-baganis-sarl, SNDKR2012B11930,1000000
BUSINESS INTELLIGENCE AGENCY SARL - B.I.A SARL,27/08/2012,DAKAR SACRE COEUR 3 VILLA N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/business-intelligence-agency-sarl-bia-sarl, SNDKR2012B11931,1000000
ENTREPRISE DE SERVICES ET DE CONSTRUCTIONS SARL - ESERCO SARL,27/08/2012,DAKAR NORD FOIRE DIACKSAO...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/entreprise-de-services-et-de-constructions-sarl-eserco-sarl, SNDKR2012B11926,1000000
TERYS SARL,17/08/2012,IMPASSE DES CORRIDAS BAIES DE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE MANUFACTURIERE,http://www.creationdentreprise.sn/terys-sarl, SNDKR2012B11715,1000000
MACO GLOBAL SERVICES SARL - MGS SARL,29/08/2012,CITE BCEAO 1 NORD FOIRE VILLA...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/maco-global-services-sarl-mgs-sarl, SNDKR2012B12138,1000000
MARIMMO SARL,13/08/2012,DAKAR 4 RUE KLEBER,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/marimmo-sarl, SNDKR2012B11482,1000000
SPORTGALAXY SUARL,13/08/2012,DAKAR OUEST FOIRE VILLA N°21,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/sportgalaxy-suarl, SNDKR2012B11480,1000000
NURAN SENEGAL SUARL,13/08/2012,GOLF NORD CITE SHS VILLA N°113,S.U.A.R.L,ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/nuran-senegal-suarl, SNDKR2012B11480,1000000
CISSTRANS SENEGAL SUARL,13/08/2012,DAKAR VDN x LIBERTE 6...,S.U.A.R.L,TRANSPORT,http://www.creationdentreprise.sn/cisstrans-senegal-suarl, SNDKR2012B11477,1000000
S2A GLOBAL SERVICES SARL,13/08/2012,DAKAR SACRE COEUR 3 VILLA N°1...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/s2a-global-services-sarl, SNDKR2012B11476,1000000
AKANE GLOBAL CONSULTING SUARL,13/08/2012,DAKAR SACRE COEUR 3...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/akane-global-consulting-suarl, SNDKR2012B11478,1000000
WILHELMSEN SHIPS SERVICES SENEGAL SUARL,09/08/2012,DAKAR CABINET DELOITTE...,S.U.A.R.L,TRANSPORT,http://www.creationdentreprise.sn/wilhelmsen-ships-services-senegal-suarl, SNDKR2012B11350,15000000
TRACE DESIGN SARL - TD SARL,09/08/2012,DAKAR SIPRES 2 VILLA N°181 TER,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/trace-design-sarl-td-sarl, SNDKR2012B11352,2000000
AFRIKA TRAINING SENEGAL SARL - ATSN SARL,09/08/2012,DAKAR SIPRES 2 VILLA N°181...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/afrika-training-senegal-sarl-atsn-sarl, SNDKR2012B11351,2000000
SOFT-R SENEGAL SARL - SOFT-R SN,10/08/2012,AVENUE MALICK SY x AUTOROUTE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/soft-r-senegal-sarl-soft-r-sn, SNDKR2012B11363,1500000
NDAMIR SUARL,08/08/2012,DAKAR 27 AVENUE GEORGES...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/ndamir-suarl, SNDKR2012B11246,1000000
SARL F.G.F,10/08/2012,RUE 34 x 28 MEDINA DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/sarl-fgf, SNDKR2012B11362,1000000
MCM SUARL,27/08/2012,DAKAR MEDINA RUE 22 x 11,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/mcm-suarl, SNDKR2012B11929,1000000
SET6POWER SARL,27/08/2012,DAKAR HLM MARISTES 2 N°096,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/set6power-sarl, SNDKR2012B11927,1000000
ARLIANE SARL,28/08/2012,DAKAR 9 AVENUE FAIDHERBE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/arliane-sarl, SNDKR2012B12047,1000000
AUTO VISION GESTION SARL,27/08/2012,HANN MARISTES 1 VILLA N°72 F...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/auto-vision-gestion-sarl, SNDKR2012B11932,1000000
MINT TECHNOLOGY SUARL,28/08/2012,DAKAR OUAGOU NIAYES RUES 40,S.U.A.R.L,COMMUNICATION,http://www.creationdentreprise.sn/mint-technology-suarl, SNDKR2012B12049,1000000
ARGO SARL,29/08/2012,DAKAR 91 SUD FOIRE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/argo-sarl, SNDKR2012B12139,1000000
SUNU TEERANGA SARL,29/08/2012,DAKAR HANN MARISTES 1 VILLA R...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ALIMENTAIRE,http://www.creationdentreprise.sn/sunu-teeranga-sarl, SNDKR2012B12137,1000000
SALL INDUSTRIE SENEGAL SARL,07/08/2012,DAKAR 01 AVENUE JEAN JAURES,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIES TEXTILES,http://www.creationdentreprise.sn/sall-industrie-senegal-sarl, SNDKR2012B11184,1000000
3S COMMODITIES SARL,06/08/2012,4 RUE PARENT,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/3s-commodities-sarl, SNDKR2012B11055,5000000
AGDAL.IMMOBILIER SARL,13/08/2012,MERMOZ VILLA N°7223 DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/agdalimmobilier-sarl, SNDKR2012B11474,1000000
FLASH AFRIQUE SEA PRODUCTS SA,13/08/2012,DAKAR HANN MARISTES 1 VILLA N...,SOCIETE ANONYME (S.A),PECHE,http://www.creationdentreprise.sn/flash-afrique-sea-products-sa, SNDKR2012B11470,10000000
L&#039;AFRICAINE DU BTP SARL,13/08/2012,LOT OB1 SCAT URBAM GRAND YOFF...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/lafricaine-du-btp-sarl, SNDKR2012B11469,1000000
